iter	Passed	Remaining
0	96	96372
1	98	48974
2	98	32850
3	99	24869
4	100	20008
5	101	16774
6	101	14448
7	102	12706
8	103	11351
9	103	10262
10	104	9375
11	104	8639
12	105	8024
13	106	7490
14	106	7026
15	107	6625
16	108	6259
17	108	5934
18	109	5648
19	110	5393
20	110	5164
21	111	4952
22	112	4779
23	113	4609
24	114	4447
25	114	4293
26	115	4151
27	115	4021
28	116	3897
29	117	3791
30	117	3684
31	118	3589
32	119	3500
33	120	3413
34	120	3329
35	121	3248
36	121	3173
37	122	3104
38	123	3040
39	124	2979
40	124	2918
41	125	2866
42	126	2816
43	127	2761
44	127	2709
45	128	2659
46	129	2616
47	129	2571
48	130	2533
49	131	2491
50	131	2451
51	132	2410
52	132	2373
53	133	2335
54	133	2300
55	134	2267
56	135	2238
57	135	2206
58	136	2181
59	137	2154
60	138	2127
61	138	2100
62	139	2073
63	139	2046
64	140	2019
65	141	1995
66	141	1976
67	142	1953
68	143	1933
69	143	1910
70	144	1889
71	144	1868
72	145	1847
73	146	1828
74	146	1809
75	147	1791
76	147	1773
77	148	1755
78	149	1738
79	149	1722
80	150	1706
81	150	1690
82	151	1670
83	151	1656
84	152	1640
85	152	1625
86	153	1611
87	154	1599
88	155	1586
89	155	1573
90	156	1560
91	156	1547
92	157	1533
93	157	1521
94	158	1509
95	158	1497
96	159	1486
97	160	1477
98	161	1467
99	161	1457
100	162	1446
101	163	1436
102	163	1425
103	164	1415
104	164	1405
105	165	1395
106	166	1386
107	166	1378
108	167	1368
109	167	1359
110	168	1350
111	169	1341
112	169	1331
113	170	1322
114	170	1313
115	171	1304
116	171	1295
117	172	1287
118	172	1280
119	173	1272
120	174	1264
121	174	1255
122	175	1247
123	175	1240
124	176	1233
125	176	1225
126	177	1218
127	177	1211
128	178	1206
129	179	1199
130	179	1192
131	180	1187
132	181	1180
133	181	1174
134	182	1167
135	182	1161
136	183	1155
137	183	1148
138	184	1142
139	185	1138
140	185	1132
141	186	1126
142	186	1120
143	187	1114
144	188	1108
145	188	1103
146	189	1097
147	189	1091
148	190	1085
149	190	1080
150	191	1075
151	191	1070
152	192	1066
153	193	1061
154	193	1056
155	194	1051
156	194	1046
157	195	1041
158	196	1037
159	196	1032
160	197	1027
161	197	1022
162	198	1019
163	199	1015
164	199	1010
165	200	1006
166	200	1001
167	201	998
168	202	994
169	202	989
170	203	987
171	204	983
172	204	979
173	205	975
174	206	971
175	206	967
176	207	963
177	207	959
178	208	955
179	209	952
180	209	948
181	210	944
182	210	941
183	211	938
184	212	934
185	212	930
186	213	927
187	213	923
188	214	919
189	214	915
190	215	912
191	216	909
192	216	907
193	217	904
194	218	901
195	218	897
196	219	894
197	219	890
198	220	887
199	220	883
200	221	880
201	222	877
202	222	874
203	223	871
204	224	868
205	224	865
206	225	862
207	225	859
208	226	856
209	226	853
210	227	850
211	228	847
212	228	845
213	229	842
214	230	840
215	230	837
216	231	834
217	231	831
218	232	828
219	232	826
220	233	823
221	234	820
222	235	821
223	236	818
224	236	816
225	237	813
226	238	810
227	238	808
228	239	805
229	239	802
230	240	799
231	240	796
232	241	793
233	241	791
234	242	788
235	242	785
236	245	789
237	245	786
238	246	784
239	246	781
240	247	779
241	247	776
242	248	773
243	249	771
244	249	769
245	250	767
246	251	765
247	251	763
248	252	761
249	252	758
250	253	756
251	254	754
252	254	751
253	255	749
254	255	746
255	256	744
256	256	742
257	257	740
258	258	738
259	258	735
260	259	733
261	259	731
262	260	729
263	260	727
264	261	724
265	262	723
266	262	721
267	263	720
268	264	718
269	265	717
270	265	715
271	266	713
272	266	711
273	267	708
274	268	707
275	269	705
276	269	704
277	270	701
278	270	699
279	271	697
280	271	695
281	272	694
282	273	691
283	273	689
284	274	687
285	274	686
286	275	684
287	275	682
288	276	680
289	276	678
290	277	675
291	277	673
292	278	671
293	278	669
294	279	667
295	279	665
296	280	663
297	281	662
298	281	660
299	282	658
300	282	656
301	283	655
302	284	653
303	284	651
304	285	650
305	286	648
306	286	647
307	287	645
308	288	644
309	288	642
310	289	640
311	289	638
312	290	637
313	291	635
314	291	634
315	292	632
316	292	631
317	293	629
318	294	628
319	294	626
320	295	624
321	295	622
322	296	620
323	296	619
324	297	617
325	297	615
326	298	613
327	298	612
328	299	610
329	300	609
330	300	607
331	301	606
332	301	604
333	302	602
334	302	601
335	303	599
336	303	598
337	304	596
338	304	594
339	305	593
340	306	591
341	306	590
342	307	588
343	307	586
344	308	585
345	308	583
346	309	581
347	309	580
348	310	578
349	310	576
350	311	575
351	311	573
352	312	572
353	312	570
354	313	569
